account_name,predict_class,prochoice_strength,prolife_strength,follower of,prolife proportion,prochoice proportion
jackeekgonzalez,1,0.15034542465640743,0.8496545753435926,1,0.9375,0.0625
jessicapcash87,0,0.6900963999023706,0.3099036000976294,1,0.0,1.0
jessiechavez491,0,0.6132019112345195,0.38679808876548055,-1,0.0,1.0
JessieQ_1,1,0.10629197343414709,0.8937080265658529,1,0.96969697,0.03030303
JeSuisAlison,0,0.6285553921640014,0.37144460783599864,-1,0.0,1.0
jhiybqh3,0,0.6132019112345195,0.38679808876548055,1,1.0,0.0
JobsenGrothe,0,0.6014338937490706,0.3985661062509293,1,1.0,0.0
Joe_Panama,0,0.8246735333426578,0.17532646665734217,-1,0.0,1.0
johng167,0,0.6080577337148261,0.39194226628517387,1,1.0,0.0
johnphalpin,0,0.7046564085405591,0.29534359145944095,-1,0.0,1.0
joleen_jkane27,0,0.6132019112345195,0.38679808876548055,-1,0.0,1.0
josephintoronto,0,0.6347483640972316,0.36525163590276843,1,1.0,0.0
JPAndreas1,1,0.27618779408162364,0.7238122059183764,1,1.0,0.0
jshaw423,0,0.696174234098188,0.30382576590181204,-1,0.0,1.0
juliana_swenson,0,0.6123726323863945,0.38762736761360556,-1,0.0,1.0
julieburtonwmc,0,0.8212937368908906,0.1787062631091094,-1,0.0,1.0
justaoifethings,0,0.8379019691826501,0.1620980308173499,-1,0.0,1.0
justinbook18,0,0.5537082408903917,0.44629175910960833,1,1.0,0.0
JVanMaren,1,0.18165709478144176,0.8183429052185582,1,0.9,0.1
katherine_ae,0,0.7249266585271559,0.27507334147284407,-1,0.0,1.0
katie_jacob55,1,0.271567839438174,0.728432160561826,-1,0.8888888890000001,0.111111111
KatLTosh,0,0.6986582577388067,0.30134174226119326,-1,0.0,1.0
Keithhinton8,1,0.17099915490977313,0.8290008450902269,1,1.0,0.0
kelseamcbelsea,0,0.7089224870437577,0.2910775129562423,1,0.045454545,0.954545455
KGHerriott23,0,0.6132019112345195,0.38679808876548055,1,1.0,0.0
kgscanlon,0,0.5352081765592258,0.46479182344077413,1,0.923076923,0.076923077
kimidwa,0,0.5550668246697417,0.4449331753302583,1,1.0,0.0
Klaskarides,0,0.6259603432066447,0.3740396567933552,-1,0.0,1.0
KmTilley,1,0.41171625057511385,0.5882837494248861,-1,0.0,1.0
laurelmoth,0,0.6465995735642294,0.35340042643577063,-1,0.0,1.0
lifepathMAS,1,0.1737496285554262,0.8262503714445738,1,1.0,0.0
likallman,0,0.7411420439384123,0.2588579560615877,-1,0.0,1.0
Linzito85,0,0.6316550406941799,0.36834495930582006,1,0.0,0.0
littlemissevec,0,0.64066098004813,0.35933901995186995,-1,0.0,1.0
Lizard_UK,0,0.576846360287716,0.42315363971228404,1,1.0,0.0
LizYohnRN,0,0.6906402717646356,0.3093597282353644,-1,0.0,1.0
LoriDeForest62,0,0.5994989537029674,0.4005010462970326,-1,0.0,1.0
LuiGui_FCh,1,0.4941091793354404,0.5058908206645596,1,0.5,0.5
lwsplash,0,0.685584019242736,0.314415980757264,-1,0.0,1.0
madelbean,0,0.6790231036428256,0.32097689635717447,-1,0.0,1.0
Manuela2day,1,0.10720045598330352,0.8927995440166965,1,0.833333333,0.166666667
margorice86,0,0.6955323339833621,0.30446766601663783,-1,0.0,1.0
marthahorton2,0,0.591067038568471,0.408932961431529,1,1.0,0.0
mikealfinito,1,0.3347286631760261,0.6652713368239739,1,1.0,0.0
MikeMorganMN,0,0.6132019112345195,0.38679808876548055,1,1.0,0.0
misbehavens,0,0.6035019009870553,0.3964980990129447,1,1.0,0.0
miskinlaw,0,0.6985934170778729,0.3014065829221271,-1,0.0,1.0
miss_kGa,1,0.42843899726896195,0.571561002731038,1,0.875,0.125
Miss_Sam_Kelly,0,0.6132019112345195,0.38679808876548055,1,1.0,0.0
MJLucey,0,0.6703656276056089,0.3296343723943911,-1,0.0,1.0
molly_trivette,1,0.42402295578041294,0.5759770442195871,1,1.0,0.0
MonetteStephen,1,0.30531105921161783,0.6946889407883822,1,1.0,0.0
Morgan0livia,0,0.600146930317359,0.39985306968264106,-1,0.0,1.0
Mr_TomMyers,0,0.6917468618493733,0.3082531381506267,-1,0.0,1.0
MrsDoma,1,0.1602862655327616,0.8397137344672384,1,0.944444444,0.055555556
Muir_maid,0,0.82908460441136,0.17091539558864005,-1,0.0,1.0
okinnear3,0,0.7135575899839953,0.2864424100160047,-1,0.0,1.0
OnlyGirlOfTen,1,0.20647417321709427,0.7935258267829057,1,0.9375,0.0625
PatKernanQuinn,0,0.5203130266359466,0.4796869733640534,-1,0.875,0.125
Pearl_Barney,0,0.6347574647914884,0.3652425352085116,1,1.0,0.0
PeterJohnRowe,1,0.429741335352277,0.570258664647723,1,1.0,0.0
ProfHarlan,0,0.6851215561593031,0.3148784438406968,-1,0.0,1.0
Prolifefriend,1,0.08598572933842374,0.9140142706615763,1,0.96875,0.03125
rabbrady,1,0.20713027744386836,0.7928697225561316,1,1.0,0.0
realsophieyates,0,0.7093283702429223,0.2906716297570777,-1,0.0,1.0
RebeccaG2012,1,0.23175626123873172,0.7682437387612683,1,1.0,0.0
RedPillSlayer,0,0.6040276980677284,0.3959723019322716,1,0.0,0.0
regright,0,0.5480093327437954,0.4519906672562047,1,1.0,0.0
ReinyDey,1,0.09776595480133332,0.9022340451986667,1,0.954545455,0.045454545
RepMyers,0,0.6493891961140142,0.35061080388598576,-1,0.0,1.0
richard_bushey,1,0.2092815207894787,0.7907184792105213,1,1.0,0.0
richellenicole,0,0.5982432869880268,0.4017567130119733,-1,0.0,1.0
riconservative,0,0.5414393146601351,0.458560685339865,1,1.0,0.0
rjg27,0,0.6234459471734812,0.3765540528265188,1,1.0,0.0
RKCSouthern,0,0.6101272303493863,0.38987276965061374,1,1.0,0.0
RockBautumn,0,0.68343207394652,0.31656792605348005,-1,0.0,1.0
Rodrigo_Bares,0,0.648760481672023,0.35123951832797695,-1,0.0,1.0
RooForLife,1,0.16399105012790294,0.8360089498720971,1,0.96969697,0.03030303
RoseAntonia13,0,0.6863546452021745,0.3136453547978255,-1,0.0,1.0
RoxieToxic_,0,0.6917468618493733,0.3082531381506267,-1,0.0,1.0
RyanBizarri,1,0.1950273347037368,0.8049726652962632,1,1.0,0.0
samscrta,0,0.6871478764310965,0.3128521235689035,-1,0.0,1.0
SamuelRWeaver1,1,0.09741382523493236,0.9025861747650676,1,1.0,0.0
scarr6612,0,0.5633752076685147,0.4366247923314853,-1,0.875,0.125
scopferbrace,0,0.6745453779623467,0.3254546220376533,-1,0.0,1.0
sexualhealthns,0,0.8031979253743661,0.1968020746256339,-1,0.0,1.0
shaunkenyon1967,0,0.6132019112345195,0.38679808876548055,-1,0.0,1.0
SheriTreadwell,0,0.6669936125650666,0.3330063874349333,1,1.0,0.0
ShinobiShawn2,0,0.6156492484416662,0.3843507515583338,1,1.0,0.0
ShooguhLipz,0,0.6945937370064126,0.3054062629935874,-1,0.0,1.0
SimonCookeMSI,0,0.6606040261681515,0.3393959738318485,-1,0.0,1.0
sineadgallivann,0,0.6010507628407029,0.39894923715929703,-1,0.0,0.0
soihadanabort,0,0.5437212965784689,0.4562787034215311,-1,0.05,0.95
sojourner_blanc,0,0.6419531741019469,0.3580468258980531,-1,0.0,1.0
strangemoore,0,0.7170055864020428,0.2829944135979572,-1,0.0,1.0
sydneyrenee3,0,0.5469501907382828,0.4530498092617172,-1,0.0,1.0
T2theGuajardo,1,0.2916394832537954,0.7083605167462046,1,1.0,0.0
The_Alma_D,0,0.6014774779013654,0.39852252209863465,-1,0.0,1.0
thejacksonlacy,0,0.6788795035161668,0.32112049648383323,-1,0.0,1.0
thejessicaraven,0,0.7143590807475317,0.2856409192524683,-1,0.25,0.75
TheOpenMicah,0,0.5914799124280014,0.40852008757199865,1,1.0,0.0
tideslifefaith,1,0.27701583262069496,0.722984167379305,1,1.0,0.0
tjbayus1,0,0.6007911882290187,0.3992088117709814,1,1.0,0.0
tkose98,0,0.6647777052519384,0.3352222947480616,-1,0.0,1.0
TomBurdolski,1,0.16163406117942547,0.8383659388205745,1,1.0,0.0
toratannerchung,0,0.7264546333174149,0.27354536668258506,-1,0.0,1.0
Trevor_Horne,0,0.6627167736929214,0.3372832263070787,-1,0.0,1.0
trianglescheme,0,0.6823756017914133,0.3176243982085866,-1,0.0,1.0
turnerdina1,1,0.32243387861263584,0.6775661213873642,1,1.0,0.0
UKStorageGuru,0,0.6132019112345195,0.38679808876548055,1,1.0,0.0
vailkoyo,0,0.6411717573997411,0.35882824260025886,-1,0.0,1.0
VERASTEGUI100,1,0.10655195842232235,0.8934480415776777,1,0.947368421,0.052631579000000005
Vikar_Singh,0,0.6535387348659044,0.3464612651340956,-1,0.0,1.0
VLabarum,1,0.43426445450168116,0.5657355454983188,1,0.923076923,0.076923077
wafulkerson1,0,0.6010507628407029,0.39894923715929703,1,1.0,0.0
WarrenDavidson,1,0.2498690481994641,0.7501309518005359,1,0.9,0.1
WilsonRx,1,0.36497138164144527,0.6350286183585547,1,1.0,0.0
wordspurify27,0,0.5690503439804573,0.4309496560195427,-1,0.0,1.0
