stance
-7.93E-01
3.06E-01
2.24E-01
2.13E-01
2.22E-01
-2.85E-01
3.73E-01
-3.12E-01
9.34E-03
3.66E-01
5.28E-01
-6.47E-02
3.56E-01
4.56E-01
-8.71E-01
1.56E-01
4.24E-01
1.25E-01
3.91E-01
3.71E-01
4.01E-01
4.52E-01
2.97E-01
2.39E-01
4.43E-01
3.37E-02
3.68E-01
2.02E-01
2.11E-01
-8.45E-02
5.74E-01
1.77E-01
1.61E-01
1.70E-01
-2.53E-01
2.71E-01
-6.10E-01
3.41E-01
3.36E-01
4.90E-02
3.31E-01
-2.10E-01
-1.80E-01
3.12E-01
-2.32E-01
-1.41E-01
3.22E-01
4.59E-01
2.94E-01
1.79E-01
2.82E-01
-8.32E-02
3.19E-01
1.09E-01
3.92E-01
7.12E-01
3.47E-01
3.85E-01
-1.80E-01
4.74E-01
3.37E-01
4.42E-01
-1.76E-01
4.93E-02
-5.44E-01
4.29E-01
2.35E-01
-2.13E-01
6.23E-01
2.63E-01
3.77E-01
2.49E-01
3.38E-01
-3.92E-02
5.14E-01
-6.06E-01
-6.56E-01
-1.18E-01
2.39E-01
3.10E-01
5.37E-01
2.02E-01
1.33E-01
2.66E-01
5.12E-02
-4.87E-01
3.49E-01
5.34E-02
3.39E-01
3.23E-01
3.03E-01
2.45E-01
3.50E-01
3.18E-01
2.31E-01
2.94E-01
2.51E-01
4.42E-01
4.28E-01
-2.74E-01
1.08E-01
4.27E-01
1.49E-01
4.09E-01
-2.78E-01
3.08E-01
-4.87E-01
-2.73E-01
1.96E-01
4.39E-01
2.50E-01
4.80E-01
-6.96E-01
4.39E-01
3.01E-01
4.39E-01
2.72E-01
3.06E-01
2.61E-01
-7.41E-02
2.78E-01
4.40E-01
-3.99E-01
3.36E-01
-7.31E-02
2.57E-01
5.74E-02
3.14E-01
2.08E-01
2.91E-01
1.70E-01
3.59E-01
-2.74E-01
2.12E-01
3.00E-01
3.13E-01
-7.24E-02
3.78E-01
3.20E-01
-4.67E-01
1.60E-01
3.33E-01
9.50E-02
3.65E-01
-6.30E-01
-6.00E-02
5.52E-01
-3.98E-02
2.71E-01
2.19E-01
-1.34E-01
3.63E-01
1.65E-01
3.59E-01
2.20E-01
2.95E-01
3.04E-01
2.80E-01
2.67E-01
-3.02E-01
3.51E-01
4.41E-01
1.97E-01
2.49E-01
-5.78E-02
1.82E-01
3.28E-01
4.66E-01
3.03E-01
2.85E-01
2.67E-01
4.44E-01
5.55E-01
3.17E-01
2.25E-01
3.36E-01
3.76E-01
2.96E-01
-9.52E-02
3.21E-01
3.18E-01
5.61E-01
9.38E-02
-2.09E-01
1.75E-01
1.56E-01
-8.29E-02
2.29E-01
4.12E-01
-1.82E-01
2.81E-02
3.65E-01
3.37E-01
-3.97E-01
3.09E-01
-2.71E-02
4.33E-01
1.57E-01
3.87E-03
1.57E-01
