account_name,predict_class,prochoice_strength,prolife_strength,follower of,prolife proportion,prochoice proportion,prolife cnt,prochoice cnt,total cnt
GaryMillrat,0,0.74537247136946,0.2546275286305399,-1,0.0,1.0,0,3,3
GermanAlcocer1,0,0.6758753710265122,0.32412462897348787,-1,0.0,1.0,0,5,5
grammaviolet,0,0.7338863325460098,0.26611366745399023,-1,0.0,1.0,0,10,10
Great_Scott79,0,0.6016323800817213,0.39836761991827874,1,1.0,0.0,9,0,9
HattieLadd,0,0.7987172881517952,0.20128271184820476,-1,0.0,1.0,0,12,12
HopeBeats,1,0.24594816349643112,0.7540518365035689,1,1.0,0.0,20,0,20
Hweininger,1,0.11689480743397984,0.8831051925660202,1,0.9642857140000001,0.035714286,27,1,28
ibiloh,0,0.6192445650989948,0.38075543490100516,-1,0.0,1.0,0,1,1
IbrahimSaidUba1,0,0.7035617203740294,0.2964382796259706,-1,0.0,1.0,0,1,1
inarvan,0,0.711107173979372,0.28889282602062805,-1,0.0,1.0,0,1,1
IWRising,0,0.8114992334673952,0.18850076653260478,-1,0.0,1.0,0,8,8
Jaack2063,0,0.6821486777769449,0.3178513222230551,1,1.0,0.0,1,0,1
jackeekgonzalez,0,0.6749897362127071,0.32501026378729286,1,0.9375,0.0625,15,1,16
jessicapcash87,0,0.7107003756558583,0.28929962434414175,1,0.0,1.0,0,3,3
jessiechavez491,1,0.47331508032975556,0.5266849196702444,-1,0.0,1.0,0,1,1
JessieQ_1,1,0.32647083376887687,0.6735291662311231,1,0.96969697,0.03030303,32,1,33
JeSuisAlison,0,0.717233093740834,0.28276690625916595,-1,0.0,1.0,0,1,1
jhiybqh3,0,0.6823630132240396,0.3176369867759604,1,1.0,0.0,2,0,2
JobsenGrothe,0,0.708528945127702,0.29147105487229796,1,1.0,0.0,1,0,1
Joe_Panama,0,0.5747703494338344,0.4252296505661656,-1,0.0,1.0,0,2,2
johng167,0,0.6419575494695524,0.35804245053044764,1,1.0,0.0,1,0,1
johnphalpin,0,0.7099225832484872,0.2900774167515128,-1,0.0,1.0,0,1,1
joleen_jkane27,0,0.7089316755660766,0.2910683244339234,-1,0.0,1.0,0,2,2
josephintoronto,0,0.718965419022151,0.28103458097784895,1,1.0,0.0,1,0,1
