User,stance
ABabysRights,-0.8005508713798613
ABGYNservices,0.31977096775306457
Abigailschumach,0.24718579766559629
Alboteaparty,0.23947738343000535
alexdelong_,0.2494552601811919
AllanLohr,-0.28889808385625726
allisonnell,0.39837380918004917
amyrpatton,-0.2881001479451235
AngelaFairbanks,0.029847043674389506
anj_90,0.38960671910143174
annamchughGP,0.5521831815687956
anscott63,-0.05844458724247259
Anthony13JJ,0.3789656219289162
Apocalypte,0.4773629794844479
AustCBR,-0.8814729060808877
bakerbarb54130,0.16601225026298122
bananafitz,0.4437456284289173
basvandervoort,0.15131143481985776
beckererine,0.4120227852096366
BeWellWriting,0.3950876097660501
BitterBrendy,0.42060262131662274
bo_rajer,0.459276172296237
braincavanagh,0.304031996956739
BrianChiasson,0.2639298466290226
Briggs_CK,0.45813153742154467
BundeCollins,0.06064529361221216
caraecal,0.38910735429161547
CaRi1765,0.2288187790855336
CathCornellMD,0.23551522848711637
CathrynBuse,-0.07995161579951737
cbpolis,0.5934223240223241
CDGonzo2016,0.20196245875713614
ch7pg3,0.17894914550554453
Chuck_Swanson,0.1958292189168659
CityonaHillUSA,-0.23924985521274644
clayguy83,0.29736031197161933
ClevelandRTL,-0.6125705072783849
clinicalsarcasm,0.36327025210021363
ClymerCaitlyn,0.3614285943999594
ConnieBII,0.07541172164573351
cpsmurtagh,0.35625788173426165
CSLCHSnMore,-0.20466053783162175
DailyCatechist,-0.1638719115022642
DAvallone,0.33675266276738014
debc51,-0.21234287071155244
defenderofthe8,-0.13633069621310068
denmurray24,0.3425895623860561
DenverDelRay,0.47821833858038687
derrickj2015,0.29885447518129105
DianaMurtagh,0.20230465496014893
digingupthedead,0.308739665520109
Disciple4Lif,-0.07110199200273981
dogsharkey,0.3439767433504324
donbrownbooks,0.13551049970014184
DrCNM,0.41521644169571625
DrEmmaBasch,0.7257157442083375
ebethsher,0.3676783765144911
eleenmurf,0.4088143524652131
Elentari98,-0.17205358548292782
EmilyThrive,0.48531635237535015
ericzieg,0.35977739917542195
evonniastarr,0.466829748239689
farfromhomenow,-0.17582150332735103
fargen77,0.07429152196824096
fedewa_agnes,-0.535910820689769
ffskennz,0.4512297526274485
formasjuitan,0.26202612706893846
frederick5661,-0.18788148986598885
FreeSafeLegalUK,0.6259172111378513
FriscoTx4Trump,0.28849446876814777
GaryMillrat,0.40052056727919205
GermanAlcocer1,0.27587537102651216
grammaviolet,0.3632980972518921
Great_Scott79,-0.014367619918278729
HattieLadd,0.526180600520768
HopeBeats,-0.6046615926011298
Hweininger,-0.6610835319162006
ibiloh,-0.0921524937245346
IbrahimSaidUba1,0.26413179163293676
inarvan,0.3363313222160725
IWRising,0.5587519807201424
Jaack2063,0.2281804238086909
jackeekgonzalez,0.15940899966879774
jessicapcash87,0.2920957244930676
jessiechavez491,0.05664841366308887
JessieQ_1,-0.4722512109595577
JeSuisAlison,0.3733177498254901
jhiybqh3,0.08066809796980234
JobsenGrothe,0.36018335689240794
Joe_Panama,0.32912575013069856
johng167,0.3261680757853419
johnphalpin,0.2712129058291324
joleen_jkane27,0.3755983422327433
josephintoronto,0.3434937209089435
