account_name,predict_class,prochoice_strength,prolife_strength,follower of,prolife proportion,prochoice proportion,prolife cnt,prochoice cnt,total cnt
farfromhomenow,0,0.6190620822684955,0.38093791773150454,1,1.0,0.0,1,0,1
fargen77,1,0.46837839457939634,0.5316216054206037,1,1.0,0.0,4,0,4
fedewa_agnes,1,0.15993339147097252,0.8400666085290275,1,0.9411764709999999,0.058823529000000006,16,1,17
ffskennz,0,0.8356075309521004,0.16439246904789961,-1,0.0,1.0,0,5,5
formasjuitan,0,0.5814442185682089,0.418555781431791,-1,0.0,1.0,0,3,3
frederick5661,1,0.1732680315916033,0.8267319684083967,1,1.0,0.0,15,0,15
FreeSafeLegalUK,0,0.8197084515864648,0.18029154841353529,-1,0.214285714,0.7857142859999999,3,11,14
FriscoTx4Trump,1,0.32471920410435495,0.675280795895645,1,1.0,0.0,14,0,14
GaryMillrat,0,0.7006858170309097,0.2993141829690903,-1,0.0,1.0,0,3,3
GermanAlcocer1,0,0.6190620822684955,0.38093791773150454,-1,0.0,1.0,0,5,5
grammaviolet,0,0.761433359229681,0.23856664077031894,-1,0.0,1.0,0,10,10
Great_Scott79,0,0.5104973247619055,0.48950267523809454,1,1.0,0.0,9,0,9
HattieLadd,0,0.8736442659003665,0.12635573409963347,-1,0.0,1.0,0,12,12
HopeBeats,1,0.26621174590580166,0.7337882540941983,1,1.0,0.0,20,0,20
Hweininger,1,0.08364304605217776,0.9163569539478222,1,0.9642857140000001,0.035714286,27,1,28
ibiloh,1,0.13820537902506547,0.8617946209749345,-1,0.0,1.0,0,1,1
IbrahimSaidUba1,0,0.6131719386048706,0.3868280613951294,-1,0.0,1.0,0,1,1
inarvan,0,0.6473147699862454,0.35268523001375457,-1,0.0,1.0,0,1,1
IWRising,0,0.728994918637377,0.27100508136262297,-1,0.0,1.0,0,8,8
Jaack2063,1,0.14565747582679744,0.8543425241732026,1,1.0,0.0,1,0,1
jackeekgonzalez,1,0.14827363162727614,0.8517263683727239,1,0.9375,0.0625,15,1,16
jessicapcash87,0,0.688317183450438,0.31168281654956204,1,0.0,1.0,0,3,3
jessiechavez491,0,0.6190620822684955,0.38093791773150454,-1,0.0,1.0,0,1,1
JessieQ_1,1,0.10113532101364253,0.8988646789863575,1,0.96969697,0.03030303,32,1,33
JeSuisAlison,0,0.6319010526000749,0.3680989473999251,-1,0.0,1.0,0,1,1
jhiybqh3,0,0.6190620822684955,0.38093791773150454,1,1.0,0.0,2,0,2
JobsenGrothe,0,0.6078064821567781,0.3921935178432218,1,1.0,0.0,1,0,1
Joe_Panama,0,0.8263444593225222,0.17365554067747785,-1,0.0,1.0,0,2,2
johng167,0,0.6233361219639368,0.37666387803606316,1,1.0,0.0,1,0,1
johnphalpin,0,0.7042269554762954,0.2957730445237046,-1,0.0,1.0,0,1,1
joleen_jkane27,0,0.6190620822684955,0.38093791773150454,-1,0.0,1.0,0,2,2
josephintoronto,0,0.6410078079014268,0.3589921920985732,1,1.0,0.0,1,0,1
JPAndreas1,1,0.28043478316479353,0.7195652168352065,1,1.0,0.0,7,0,7
jshaw423,0,0.694318346071666,0.305681653928334,-1,0.0,1.0,0,4,4
juliana_swenson,0,0.6301444632324629,0.36985553676753713,-1,0.0,1.0,0,1,1
julieburtonwmc,0,0.8397188623248327,0.1602811376751673,-1,0.0,1.0,0,6,6
justaoifethings,0,0.8380842097539231,0.16191579024607697,-1,0.0,1.0,0,4,4
justinbook18,0,0.5617163085704239,0.4382836914295761,1,1.0,0.0,9,0,9
JVanMaren,1,0.18573511161960532,0.8142648883803947,1,0.9,0.1,18,2,20
katherine_ae,0,0.7446728812516026,0.2553271187483975,-1,0.0,1.0,0,6,6
katie_jacob55,1,0.26770048318344586,0.7322995168165541,-1,0.8888888890000001,0.111111111,8,1,9
KatLTosh,0,0.7018094270833177,0.29819057291668233,-1,0.0,1.0,0,1,1
Keithhinton8,1,0.16918994741987126,0.8308100525801287,1,1.0,0.0,12,0,12
kelseamcbelsea,0,0.7353043795590362,0.2646956204409639,1,0.0,1.0,0,21,21
KGHerriott23,0,0.6190620822684955,0.38093791773150454,1,1.0,0.0,1,0,1
kgscanlon,0,0.5374626881992921,0.46253731180070784,1,0.923076923,0.076923077,12,1,13
kimidwa,0,0.5692020030969833,0.43079799690301673,1,1.0,0.0,3,0,3
Klaskarides,0,0.6303908686175116,0.3696091313824884,-1,0.0,1.0,0,1,1
KmTilley,1,0.41138637381721077,0.5886136261827892,-1,0.0,1.0,0,4,4
laurelmoth,0,0.6407313764243541,0.3592686235756459,-1,0.0,1.0,0,4,4
lifepathMAS,1,0.16969819060232827,0.8303018093976717,1,1.0,0.0,3,0,3
likallman,0,0.7720218180749364,0.22797818192506358,-1,0.0,1.0,0,1,1
Linzito85,0,0.6341982838574991,0.36580171614250084,1,0.0,0.0,0,0,0
littlemissevec,0,0.6468050339163546,0.3531949660836454,-1,0.0,1.0,0,7,7
Lizard_UK,0,0.5831440347632113,0.41685596523678875,1,1.0,0.0,1,0,1
LizYohnRN,0,0.7524640325633871,0.24753596743661285,-1,0.0,1.0,0,17,17
LoriDeForest62,0,0.6198847650363051,0.380115234963695,-1,0.0,1.0,0,1,1
