User,stance
ABabysRights,-0.8594066902162664
ABGYNservices,0.1819770001694787
Abigailschumach,-0.6078863354295899
Alboteaparty,-0.4192090830120083
alexdelong_,-0.8615979434300858
AllanLohr,0.11906208226849546
allisonnell,0.37944936209749563
amyrpatton,-0.6198286939081766
AngelaFairbanks,0.7075386477756236
anj_90,0.2846170850370152
annamchughGP,0.3237839270811895
anscott63,-0.35904799790293906
Anthony13JJ,-0.3801152349636949
Apocalypte,0.6314359642831124
AustCBR,-0.41860055554550457
bakerbarb54130,-0.7150026137033436
bananafitz,0.7111269380012529
basvandervoort,-0.2247483692669877
beckererine,0.3532365807243609
BeWellWriting,0.16063016645881412
BitterBrendy,0.33782460721273794
bo_rajer,0.11906208226849546
braincavanagh,0.6292107741901625
BrianChiasson,-0.42176065973191945
Briggs_CK,0.11906208226849546
BundeCollins,-0.1947646945615893
caraecal,0.7607670858773354
CaRi1765,-0.08520613378531805
CathCornellMD,0.1866581358567968
CathrynBuse,-0.04861199742985628
cbpolis,0.6658012346297364
CDGonzo2016,-0.5884728515858296
ch7pg3,-0.0024150686473692895
Chuck_Swanson,-0.31959853830531526
CityonaHillUSA,-0.42317874470170935
clayguy83,-0.26751728434635014
ClevelandRTL,-0.5898645529773443
clinicalsarcasm,-0.3915803657690662
ClymerCaitlyn,0.6979901578209693
ConnieBII,-0.837307664274951
cpsmurtagh,0.25502621781862067
CSLCHSnMore,0.3725887441211082
DailyCatechist,-0.752225040875277
DAvallone,0.4391555218046789
debc51,-0.7183291007323325
defenderofthe8,0.3237839270811895
denmurray24,0.4163727033136037
DenverDelRay,-0.3785430562137202
derrickj2015,-0.36500369762991447
DianaMurtagh,0.5119636996515241
digingupthedead,-0.4193726815819002
Disciple4Lif,-0.45907719594362084
dogsharkey,0.2482228098078167
donbrownbooks,-0.4275070466298312
DrCNM,0.7501926972624888
DrEmmaBasch,-0.38093791773150454
ebethsher,0.11906208226849546
eleenmurf,0.11906208226849546
Elentari98,-0.14589802658185824
EmilyThrive,0.5123698938900385
ericzieg,0.1976524992384563
evonniastarr,0.46406079825721014
farfromhomenow,0.11906208226849546
fargen77,-0.25889433269333095
fedewa_agnes,-0.8030295714919904
ffskennz,0.7380465553423443
formasjuitan,-0.08522244809845769
frederick5661,-0.8014953753484598
FreeSafeLegalUK,0.8197084515864648
FriscoTx4Trump,-0.5576337370721156
GaryMillrat,0.2862714026164953
GermanAlcocer1,0.11906208226849546
grammaviolet,0.4673157121708575
Great_Scott79,-0.43732876219461625
HattieLadd,0.7683811080056296
HopeBeats,-0.730014669188538
Hweininger,-0.8988130942986994
ibiloh,-0.8617946209749345
IbrahimSaidUba1,-0.3868280613951294
inarvan,-0.24157411890264346
IWRising,0.603994918637377
Jaack2063,-0.7543425241732026
jackeekgonzalez,-0.7445835112298668
jessicapcash87,0.3549838501171047
jessiechavez491,0.11906208226849546
JessieQ_1,-0.7877535678752463
JeSuisAlison,-0.3680989473999251
jhiybqh3,0.11906208226849546
JobsenGrothe,-0.3921935178432219
Joe_Panama,0.8263444593225222
johng167,-0.37666387803606316
johnphalpin,0.3042269554762954
joleen_jkane27,0.11906208226849546
josephintoronto,-0.1868067616349971
JPAndreas1,-0.6547504020203917
jshaw423,0.444318346071666
juliana_swenson,-0.2746174415294419
julieburtonwmc,0.6536723506969258
justaoifethings,0.6440543590076544
justinbook18,-0.41057006556352527
JVanMaren,-0.6580148883803947
katherine_ae,0.560057496636218
katie_jacob55,-0.6846804691975065
KatLTosh,0.14625387152776215
Keithhinton8,-0.7887932458574397
kelseamcbelsea,0.6103043795590362
KGHerriott23,0.11906208226849546
kgscanlon,-0.3241725319264941
kimidwa,-0.3033470165108598
Klaskarides,-0.16960913138248845
KmTilley,0.21138637381721076
laurelmoth,0.47406470975768744
lifepathMAS,-0.8303018093976717
likallman,0.3890430946706811
Linzito85,-0.3658017161425009
littlemissevec,-0.20504681793549728
Lizard_UK,-0.2984349126052097
LizYohnRN,0.7524640325633871
LoriDeForest62,-0.3801152349636949
LuiGui_FCh,-0.5009799030799681
lwsplash,0.40183519577935717
madelbean,0.11223747111179472
Manuela2day,-0.8625746439113781
margorice86,0.2916619183825669
marthahorton2,-0.392665857095565
mikealfinito,-0.4843798115027962
MikeMorganMN,0.11906208226849546
misbehavens,-0.05412085862576499
miskinlaw,0.12626705314528697
miss_kGa,-0.26029978815354404
Miss_Sam_Kelly,0.11906208226849546
MJLucey,-0.17674670290362182
molly_trivette,-0.5788993488738041
MonetteStephen,-0.6891616567452226
Morgan0livia,-0.39436676616875266
Mr_TomMyers,0.1888473119911901
MrsDoma,-0.7645838525903712
Muir_maid,0.5451385773281207
okinnear3,0.38673222029560544
OnlyGirlOfTen,-0.7265393679359008
PatKernanQuinn,-0.27275369593234433
Pearl_Barney,0.638772465518824
PeterJohnRowe,-0.43528375378549067
ProfHarlan,0.022808352076373883
Prolifefriend,-0.9179449078506947
rabbrady,-0.7986543613658877
realsophieyates,0.5258701162763046
RebeccaG2012,-0.582328758368143
RedPillSlayer,-0.15949790280235077
regright,-0.4435169389251914
ReinyDey,-0.8126880025615174
RepMyers,-0.08207424468250801
richard_bushey,-0.7929862237870361
richellenicole,-0.39541602722227687
riconservative,-0.38876611514940407
rjg27,-0.08647593180473401
RKCSouthern,-0.32810181894262735
RockBautumn,0.3667129594273108
Rodrigo_Bares,0.484822680938121
RooForLife,-0.7988197862603228
RoseAntonia13,0.18866007448027533
RoxieToxic_,0.1888473119911901
RyanBizarri,-0.8097129229077177
samscrta,0.6111385239113987
SamuelRWeaver1,-0.9055066210432644
scarr6612,-0.43074056882884537
scopferbrace,0.4144984680748583
sexualhealthns,0.5199189086664241
shaunkenyon1967,0.11906208226849546
SheriTreadwell,0.4464264005210423
ShinobiShawn2,0.12348162264893325
ShooguhLipz,0.26933367859290236
SimonCookeMSI,0.3324414200080127
sineadgallivann,-0.39336754333996027
soihadanabort,0.5741843192962
sojourner_blanc,0.06830144879962952
strangemoore,0.44946875433724104
sydneyrenee3,0.06896182276172369
T2theGuajardo,-0.6294039151830018
The_Alma_D,-0.03531098797084975
thejacksonlacy,0.20746164218886404
thejessicaraven,0.5835185505428978
TheOpenMicah,-0.40231981773440495
tideslifefaith,-0.7198774084856342
tjbayus1,-0.23811988326745315
tkose98,0.16432048651463982
TomBurdolski,-0.8230686443096864
toratannerchung,0.5142539039753902
Trevor_Horne,0.2357837568395053
trianglescheme,0.19077680990518586
turnerdina1,-0.552767705160462
UKStorageGuru,-0.38093791773150454
vailkoyo,0.3367200592539618
VERASTEGUI100,-0.8583633039355495
Vikar_Singh,0.08229738244885743
VLabarum,-0.4999636487177881
