account_name,predict_class,prochoice_strength,prolife_strength,follower of,prolife proportion,prochoice proportion,prolife cnt,prochoice cnt,total cnt
GaryMillrat,0,0.7221089368612924,0.2778910631387076,-1,0.0,1.0,0,3,3
GermanAlcocer1,0,0.6493957160793025,0.3506042839206976,-1,0.0,1.0,0,5,5
grammaviolet,0,0.7090485202374133,0.29095147976258673,-1,0.0,1.0,0,10,10
Great_Scott79,0,0.5768321017838598,0.4231678982161402,1,1.0,0.0,9,0,9
HattieLadd,0,0.7864618436999133,0.2135381563000867,-1,0.0,1.0,0,12,12
HopeBeats,1,0.24497275622358528,0.7550272437764147,1,1.0,0.0,20,0,20
Hweininger,1,0.12176811376274921,0.8782318862372508,1,0.9642857142857144,0.03571428571428571,27,1,28
ibiloh,0,0.5931704692164763,0.4068295307835237,-1,0.0,1.0,0,1,1
IbrahimSaidUba1,0,0.6779515124042972,0.32204848759570287,-1,0.0,1.0,0,1,1
inarvan,0,0.6845205957324103,0.3154794042675897,-1,0.0,1.0,0,1,1
IWRising,0,0.7900151510409454,0.2099848489590546,-1,0.0,1.0,0,8,8
Jaack2063,0,0.6560471844675586,0.34395281553244145,1,1.0,0.0,1,0,1
jackeekgonzalez,0,0.6481870431054308,0.35181295689456915,1,0.9375,0.0625,15,1,16
jessicapcash87,0,0.6849982602729212,0.31500173972707873,1,0.0,1.0,0,3,3
jessiechavez491,1,0.4679145393462728,0.5320854606537272,-1,0.0,1.0,0,1,1
JessieQ_1,1,0.3121679318429733,0.6878320681570267,1,0.9696969696969696,0.030303030303030307,32,1,33
JeSuisAlison,0,0.6925467300554958,0.30745326994450417,-1,0.0,1.0,0,1,1
jhiybqh3,0,0.6550775387918031,0.34492246120819686,1,1.0,0.0,2,0,2
JobsenGrothe,0,0.6870826757373047,0.3129173242626952,1,1.0,0.0,1,0,1
Joe_Panama,0,0.568956968896001,0.43104303110399905,-1,0.0,1.0,0,2,2
johng167,0,0.6185868800936916,0.38141311990630844,1,1.0,0.0,1,0,1
johnphalpin,0,0.6839362551081979,0.3160637448918021,-1,0.0,1.0,0,1,1
joleen_jkane27,0,0.6833315502526283,0.3166684497473718,-1,0.0,1.0,0,2,2
josephintoronto,0,0.6934358947929546,0.30656410520704536,1,1.0,0.0,1,0,1
JPAndreas1,0,0.647337856515125,0.352662143484875,1,1.0,0.0,7,0,7
jshaw423,0,0.7384725920657328,0.2615274079342672,-1,0.0,1.0,0,4,4
juliana_swenson,0,0.675824944436723,0.324175055563277,-1,0.0,1.0,0,1,1
julieburtonwmc,0,0.8624070994293578,0.13759290057064225,-1,0.0,1.0,0,6,6
justaoifethings,0,0.7334262339081011,0.26657376609189887,-1,0.0,1.0,0,4,4
justinbook18,1,0.39397810385661125,0.6060218961433887,1,1.0,0.0,9,0,9
JVanMaren,0,0.5568815075065658,0.4431184924934341,1,0.9,0.1,18,2,20
katherine_ae,0,0.7992231637558774,0.20077683624412257,-1,0.0,1.0,0,6,6
