org_account_order,stance
40daysforlife,-0.6263914899282089
AbolitionAHA,-0.4684123588097506
AbortionGroup,-0.6963892328958259
AmerLifeLeague,-0.8648306464217396
AntiAbrtionGang,-0.3582956004423821
AUL,-0.8023044664082517
Bound4LIFE,-0.7674621945010728
CA_ProLife,-0.712972855214235
ExposeAbortion,-0.7876702992084541
FightAbortion,-0.8692767739177847
frfrankpavone,-0.8258141940119588
HumanCoalition,-0.7962488393564966
KeepLifeLegal,-0.6855435548190812
LdnAntiAbortion,-0.5531154955913273
LGBTQProLife,-0.8677175329740144
LifeNewsHQ,-0.8398101009013577
LilaGraceRose,-0.8116964661231815
LiveAction,-0.8482447569856145
nrlc,-0.8855209679020515
operationrescue,-0.771041102916148
PLAM_org,-0.8351581770212606
ProLifeAction,-0.7399052767901872
prolifealliance,-0.7632166921401723
ProLifeBlogs,-0.8962216520806168
prolifecampaign,-0.694027549369259
ProLifeDem,-0.580554581170535
ProLifeLSU,-0.8036122898339646
ProLifePolitics,-0.7728793651629792
prolifepoppop,-0.7513709780644764
ProLifeYouth,-0.8346419291657421
recallabortion,-0.5731453314531922
RosaryMovement,-0.8378774074880221
SanDiegoProLife,-0.8550882932758898
SBAList,-0.8684821219219232
spucprolife,-0.8017166068471642
usccbprolife,-0.5174667516190821
abortion_clinic,-0.2989495437599692
Abortion_Rights,0.8181358010344453
AbortionCare,0.5560249018973079
AbortionFunds,0.8154829276705892
abortionpil,0.5906296433953742
AbortionRights,0.7696935559275775
AbortionStories,0.7350169352606244
AbortionSupport,0.8224548831778098
AcpAbortion,0.5408043435552369
alranztweets,0.744833114019188
BaltimoreFund,0.8706329049570911
BronxAbortion,0.7358985477352911
ChiAbortionFund,0.7563030595876851
DCAbortionFund,0.8031184052321267
Doctors4Choice,0.8113666226286295
Feminists4Life,-0.11769489297689095
freesafelegal,0.8206850113516246
LPJLeague,0.7984602412094643
MSFC,0.7876248070560375
NatAbortionFed,0.8355031217019416
NCAbortionFund,0.7771923918243788
NDWINFund,0.8002781986466234
needabortionire,0.8179352984615968
NJAAF,0.8567617350005252
nolaAbortionFnd,0.8689158687715501
NYAAF,0.8035133619497183
PretermMAML,0.8463771342848604
RallyforChoice,0.8095734150758829
RBraceySherman,0.6675727028639149
robinmarty,0.3099904361062273
roisiningle,0.7101206733913371
Safe_Abortion,0.7843141923443677
SeaChangeProg,0.8107641531842307
ShoutYrAbortion,0.7535527971283812
SisterSupporter,0.7669801401568415
StephHerold,0.7258760388602005
TammiKromenaker,0.7394864223291171
Voice4ChoiceUK,0.7720887986856073
WholeWomans,0.8019615491137695
